iter	Passed	Remaining
654	1519	800
655	1522	798
656	1524	796
657	1527	793
658	1529	791
659	1531	788
660	1532	786
661	1534	783
662	1537	781
663	1539	779
664	1542	776
665	1544	774
666	1546	772
667	1549	769
668	1551	767
669	1554	765
670	1556	763
671	1558	760
672	1560	758
673	1563	756
674	1565	753
675	1567	751
676	1569	749
677	1572	746
678	1574	744
679	1576	741
680	1578	739
681	1581	737
682	1583	735
683	1586	732
684	1588	730
685	1590	728
686	1592	725
687	1595	723
688	1597	720
689	1599	718
690	1601	716
691	1603	713
692	1606	711
693	1608	709
694	1611	707
695	1613	704
696	1615	702
697	1617	699
698	1619	697
699	1622	695
700	1624	692
701	1626	690
702	1628	688
703	1630	685
704	1633	683
705	1636	681
706	1638	679
707	1641	676
708	1643	674
709	1645	672
710	1648	669
711	1650	667
712	1653	665
713	1655	663
714	1658	660
715	1660	658
716	1663	656
717	1665	654
718	1668	651
719	1670	649
720	1673	647
721	1675	645
722	1678	643
723	1680	640
724	1683	638
725	1685	636
726	1688	633
727	1691	631
728	1693	629
729	1695	627
730	1697	624
731	1700	622
732	1702	620
733	1704	617
734	1706	615
735	1709	613
736	1712	610
737	1714	608
738	1716	606
739	1719	604
740	1721	601
741	1724	599
742	1726	597
743	1729	595
744	1731	592
745	1734	590
746	1736	588
747	1739	585
748	1742	583
749	1744	581
750	1747	579
751	1749	576
752	1751	574
753	1753	572
754	1756	569
755	1758	567
756	1761	565
757	1762	562
758	1765	560
759	1767	558
760	1770	556
761	1772	553
762	1774	551
763	1777	549
764	1779	546
765	1782	544
766	1784	542
767	1786	539
768	1788	537
769	1791	535
770	1793	532
771	1796	530
772	1798	528
773	1800	525
774	1803	523
775	1805	521
776	1808	518
777	1810	516
778	1812	514
779	1814	511
780	1817	509
781	1819	507
782	1821	504
783	1824	502
784	1826	500
785	1828	497
786	1830	495
787	1832	492
788	1834	490
789	1837	488
790	1839	486
791	1842	483
792	1845	481
793	1847	479
794	1850	477
795	1852	474
796	1855	472
797	1857	470
798	1860	467
799	1862	465
800	1864	463
801	1867	460
802	1869	458
803	1871	456
804	1874	453
805	1876	451
806	1878	449
807	1880	446
808	1883	444
809	1885	442
810	1887	439
811	1890	437
812	1892	435
813	1894	432
814	1897	430
815	1899	428
816	1901	425
817	1904	423
818	1906	421
819	1909	419
820	1911	416
821	1913	414
822	1916	412
823	1918	409
824	1921	407
825	1923	405
826	1925	402
827	1928	400
828	1930	398
829	1932	395
830	1935	393
831	1937	391
832	1939	388
833	1941	386
834	1944	384
835	1946	381
836	1948	379
837	1951	377
838	1953	374
839	1955	372
840	1958	370
841	1960	367
842	1962	365
843	1964	363
844	1967	360
845	1969	358
846	1972	356
847	1974	353
848	1976	351
849	1979	349
850	1981	346
851	1984	344
852	1986	342
853	1989	340
854	1991	337
855	1993	335
856	1996	333
857	1998	330
858	2000	328
859	2002	326
860	2005	323
861	2007	321
862	2010	319
863	2012	316
864	2014	314
865	2017	312
866	2019	309
867	2021	307
868	2024	305
869	2026	302
870	2029	300
871	2031	298
872	2034	295
873	2036	293
874	2038	291
875	2040	288
876	2043	286
877	2045	284
878	2047	281
879	2049	279
880	2052	277
881	2054	274
882	2056	272
883	2058	270
884	2060	267
885	2063	265
886	2065	263
887	2067	260
888	2069	258
889	2072	256
890	2074	253
891	2076	251
892	2079	249
893	2081	246
894	2083	244
895	2085	242
896	2088	239
897	2090	237
898	2092	235
899	2095	232
900	2097	230
901	2099	228
902	2102	225
903	2104	223
904	2107	221
905	2110	218
906	2112	216
907	2114	214
908	2117	211
909	2119	209
910	2122	207
911	2125	205
912	2127	202
913	2130	200
914	2132	198
915	2135	195
916	2137	193
917	2140	191
918	2143	188
919	2145	186
920	2147	184
921	2150	181
922	2153	179
923	2155	177
924	2158	174
925	2161	172
926	2164	170
927	2166	168
928	2169	165
929	2172	163
930	2175	161
931	2179	159
932	2182	156
